review,result
"Wisata keluarga yg sesuai budget kanyong yg terjangkau, view nya juga keren apalagi kalau pas senja mantap, rekomendet deh",positive
"""Aku suka tempat ini. Kebersihannya terjaga, orangnya ramah-ramah, parkir luas, mushola tersedia dan toilet juga ada (di area luarnya).",positive
"Viewnya masyaallah indah banget. Aku kesini pas siang menjelang sore, vibesnya seistimewa jogja. Apalagi kalau malam hari ya wuihh pesonanya.",positive
"Areanya tu luas banget, sampe ibuku gak kuat buat keliling lagi.",positive
"Kesini bareng keluarga, semoga bisa kesini lagi sama temen-temen.""",positive
Cocok untuk liburan keluarga . Tempat sejuk dan asri .,positive
Bagi yg suka adventure bisa ke hutan Pinus Pengger untuk foto2 yg instagramable pakai jalur jln kaki tiket 5.000.  Unt anggota keluarga yg sepuh bisa disarankan naik jeep saja 350rb/jeep.,positive
"Hutan Pinus Pengger terletak di Gunungkidul,tempat rekreasi keluarga atau temen2 yang suka touring. Spot photo banyak, makanan murah2.",positive
"Hutan pinus yang cocok untuk refreshing bersama pasangan atau keluarga.. Disini biasanya ramai saat weekend atau holidays.. Lokasi nya luas, ada bbrp spot yang keren untuk berfoto dengan background pinus atau backround city view.. Pengunjung bisa kesini di siang maupun malam hari (sama2 kerennya)..ada banyak warung yang menjual berbagai makan minum dan snack di dalam area hutan.. Terkadang ada juga live musicnya.. Ada jasa foto dengan harga yang sangat terjangkau.. Oiya htm hanya 5k per orang dan biaya parkir 2k saja..",positive
"Hutan yang didominasi pohon pinus berdasarkan namanya. 😁 disini banyak spot fotonya ya gaes, 💙💦 per masing-masing spot ada tarif tersendiri ya. Ada yang murah juga ada yang lumayan. Yang terpenting kalau kesini jangan lupa bawa uang saku gaes. Oh iya di tempat ini cocok untuk piknik keluarga. Selamat mencoba..",positive
"Kesan pertama, pastinya sejuk, rindang, alami, dan keren karena ada di alam terbuka dengan banyak pohon pinus besar. Banyak spot foto untuk mmanjakan anda berswafoto di lokasi tersebut. Cocok untuk berkunjung bersama keluarga, teman, sahabat, pasangan, bahkan dengan rombongan yang cukup banyak pesertanya. Tempat parkir yang luas, aman, nyaman untuk mninggalkan  kendaraan anda. Dan sampai sekarang msh mjadi salah 1 tempat favorid..",positive
Salah satu destinasi wisata keluarga yang sangat recommended di Jogja. Hutan pinus Pengger tempatnya sangatlah luas dan mudah didaki buat orang tua juga. Disana juga banyak warung yang menyajikan makanan cepat saji buat yang kelaparan habis jalan-jalan di hutan Pinus. Untuk tempat parkir tenang saja. Parkiran mobil dan motornya sangat luas jadi gausah khawatir. Disana juga ada pemandunya.,positive
"Tempatnya luas recomended buat liburan sm pasangan maupun keluarga, adem, ada mushola warung mkn dan nyaman",positive
"Sangat worth it untuk berburu foto epic serta bersantai bersama keluarga, kerabat, pacar dll. Hamparan hutan Pinus yang sejuk dipadukan dengan berbagai spot foto yang unik berlatar belakang kota Yogyakarta dari ketinggian (kalo mau berburu foto yang maksimal dapat mengunjungi tempat ini diwaktu malam hari), terdapat warung jajanan, mushola, tempat bersantai (gazebo), toilet dll. Jalan kesana juga cukup baik dr arah Yogyakarta kota. Harga yang dipatok 3rb/org, parkir motor 2k/motor.",positive
"Salah satu tempat wisata di jogja, yang cocok buat ngumpul bareng keluarga ataupun orang terdekat. Banyak spot foto yang di sediakan dan didukung dengan pemandangan yang indah. Selain itu akses jalan menuju objek wisata tidak terlalu susah, ada fasilitas mushola, toilet dan ada juga beberapa tempat warung yang menyediakan makanan kecil serta pilihan minuman :)",positive
Rekomended untuk keluarga bersantai ria di pinus pengger,positive
"tempatnya menarik, banyak spot foto, dan bisa foto2 bareng pasangan atau keluarga dengan harga yang murah karena di setiap spot foto ada fotografernya",positive
Tempat yang asyik berwisata bersama keluarga dan teman-teman,positive
"Harga tiket masuk 10k / orang. Pohon pinusnya terawat, rekomen buat healing bareng teman, keluarga atau bareng doi. Spot paling menarik yang di atas bisa lihat pemandangan dari atas.",positive
Siapa yang ga ngerti Hutan pinus pengger yg terletak di hutan Bantul. Udaranya sejuk seger tempat yang nyaman untuk menenangkan pikiran. Tempat yang Cocok Untuk wisata keluarga maupun umum. Tempat swafoto/spot foto banyak cantik n asyik sambil menikmati suasana kota Jogja dari atas Bukit. Bawa payung ya buat jaga² Kalo mulai Musim hujan.,positive
"Nikmati suasana sejuk udara pegunungan bersama keluarga dan teman. Banyak spot foto menarik yg bisa diabadikan. Saran, saat berkunjung hindari musim liburan",positive
"""Tiket masuk relatif terjangkau, tempat nyaman buat liburan sama keluarga ataupun teman dekat, ada beberapa warung makan juga ditengah hutan pinus,untuk rute jalan bisa dilalui kendaraan roda 4",positive
"Tetap patuhi protokol kesehatan yaaah""",positive
"Suasana sejuk, pemandangan panoramic elok. Buat healing bareng keluarga enak, apalagi sama istri 😁 …",positive
"Tempat wisata murah meriah... tiket masuk cuma rp. 2500 saja plus parkir mobil rp. 5000, tempatnya adem banget, ada tempat bermain buat anak2 pas buat acara bareng teman, piknik sama keluarga, dll. Disebelah baratnya ada tebing yang bawahnya jurang dalam banget tapi indah, bisa melihat kota Jogja dan Bantul dari atas. Baguss!",positive
"Wisata dg pemandangan yg indah,sejuk,rindang,spot bagus2, cm yg perlu dibenahi lagi soal MCK nya,masih kurang memuaskan. Parkir cukup luas,jajanan okelah dikantong hihihihi..... Cocok buat bersantai bersama keluarga,outbond sekolah, Musti hati2 ya guys kalau mau ambil foto foto,krn msh sangat alami nih,bnyk jalan yg terjal n curam,takut mpe kepleset,glundung atau malah mblusuk ke jurang,nah loh 😅😱",positive
Tempat wisata yang menyajikan pepohonan pinus yang membuat mata adem.. cocok untuk melepas penat dan liburan keluarga.. untuk spot foto ada yg berbayar dan ada yg gratis. Jika hari libur antri fotonya juga banyak...,positive
Viewnya Ok tapi perlu ada pemeliharaan untuk fasilitas agar tetap aman terutama untuk keluarga yang membawa anak dan orang tua,positive
"Ada spot foto utk keluarga, untuk yg jempol maksimal 2 dewasa, anak2 bisa 3, 1 foto yg dipilih biayanya 3 rb, untuk yg telapak tangan bisa utk 1 keluarga, tiket masuk spot foto 2 rb, 1 foto yg dipilih 3 rb",neutral
Lumayan hanya saja ada baiknya di beri playground utk anak2 juga sehingga bisa jd wisata keluarga..,positive
"""Buat kalian yang suka jalan² atau healing (kata² jaman sekarang😂) di tempat yang hijau² tepatnya di wilayah Jogja 😍 Hutan Pinus Pengger recomend bangett 🤩🤗 tempatnya sejuk, banyak spot foto yang kece², banyak warung makan juga kok buat yang sukak makan/ngemil🤭 buat jalan² sama keluarga juga asik kok 🥰",positive
"Jangan lupa mampir kesini kalo lagi di Jogja 😍🥰""",neutral
"Tempat yang sangat nyaman untuk menghabiskan waktu berlibur dengan keluarga. Udara yang sejuk, dengan pemandangan yang menyegarkan mata. Dari ketinggian, bisa melihat kota yogya. Fasilitas.nya ada mushola, parkir yang luas, warung kopi dan bisa makan makanan, dan toilet.  Harga tiket.nyapun tetjangkau sekali.",positive
"Ini keren sih, out of the box. Baguuus banget, bisa mengabadikan moment spesial bersama keluarga, teman, sahabat, pasangan tercinta. Udara sejuk dan tempatnya bersih",positive
Tempatnya syahdu sekali.. asyik buat liburan.. banyak spot foto2 seru.. tempatnya mudah dijangkau.. tempat liburan yang menyenangkan buat pasangan ataupun keluarga,positive
Cocok banget buat hunting apalagi sama keluarga banyak banget spot foto yang menarik lohh,positive
Untuk jarak dari kota Yogya cukup dekat jika ingin menikmati hawa sejuk. Tempatnya asyik untuk santai bareng keluarga maupun teman teman. Semoga lebih kreatif lagi untuk membuat spot foto yang keren. Untuk jalan masuk ke area parkir mohon dibenahi lagi. Dan area parkir belum ada atap untuk.melindungi sepeda motor. Terimakasih salam hijau,positive
Tempat spot foto nya lumayan banyak dan juga tempat bersih (recomended) buat yang mau liburan sama keluarga atau sama temen temen kampus yaaa,positive
"Tempat yg eksotic cocok utk liburan keluarga, alami, sejuk , & menyenangkan👍👍👍🙏🙏 …",positive
"Tentang alam dan pengalaman, tempat ini sangat direkomendasikan untuk mengabadikan momen bersama keluarga dan atau pasangan tersayang..",positive
Pas Untuk Wisata Keluarga Tapi Jangan Buang Sampah Sembarangan Ya.. Siapkan Scan Vaksinnya..,positive
"Menyenangkan, cocok untuk ngadem bersama keluarga, yang perlu hati hati adalah ""keberadaan ulat bulu yang rawan menpel di baju"" 🤣🤣🤣🤣🤣 …",positive
"""Familly Ghatering bersama keluarga besar Ghaniya Hijab Jepara Goes To Yogya",neutral
"29 Januari 2022""",neutral
"""Hutan Pengger, Dlingo, lokasi terdekat dari kota Jogja apabila anda ingin wisata di area gunung kidul.",positive
"Lokasi lainnya (becici, Mangunan, Songgolangit) lebih jauh dan lebih naik terjal lagi.",positive
Jadi ini cocok utk anda yg ingin nikmati keindahan hutan Pinus tanpa kejauhan.,positive
"Tiket masuk 3,ribu saja per orang.",neutral
"Parkir bus 20rb, parkir mobil keluarga 5rb""",neutral
"""Hutan Pinus yang sejuk, segar udaranya cocok untuk berlibur bersama keluarga.",positive
"Happy Family day 😍 …""",positive
"""Buat rekreasi keluarga, lumayan capek kalo keliling spot""""nya. Tp spotnya keren""""& tangan gatel banget buat selfie,wkwkwkkw.",positive
"Sayangnya waktu kesana sudah menjelang malam. Jadi spot fotonya lumayan antre. Dan waktu mau foto si tukang fotonya keburu magrib kalo nunggu lama kan. Yaudh njepret sendiri.. Pokoknya seru, lihat pemandangan dari atas terasa damai pikiran jadi lebih fresh""",positive
Hutan pinus yg cukup banyak spot foto yg bs di explore & cocok utk wisata keluarga / kelompok. Harga tiket masuk terbilang murah & tidak sia² medan yv ditempuh karna nyatanya worth it ❤️,positive
"Tempat rekreasi keluarga, teman, dll yg cukup terjangkau dan nyaman, tempat yg identik dengan viewnya saat malam bisa melihat keindahan kota jogja dari ketinggian dan dapat berfoto ria dengan kamera sendri atau jasa foto setiap foto 4ribu tapi harus sabar menunggu karna kadang antriannya ramai walaupun hari biasa.. disarankan datangnya pagi hari atau sore menjelang malam..",positive
"Cocok sebagai tempat liburan keluarga,teman,pacar, dan lainnya",positive
"""Udaranya sejuk, segar, dan cocok untuk mengajak keluarga maupun rombingan untuk datang kesini.",positive
"Banyak juga tempat-tempat untuk berswafoto, karena hutan pinus ini di desain se unik dan se milenial mungkin, jd cocok untuk anak muda maupun orang tua.""",positive
Hutan pinus tempat yang menyenangkan untuk berlibur bersama teman dan keluarga.,positive
"""Tempatnya asik buat healing bersama sahabat maupun keluarga.",positive
Jangan lupa tetap jaga protokol kesehatan ya guyss..,positive
"Jangan lupa SCAN BARCODE dari pedulilindungi yaaa, sebelum masuk tempat wisata pinusnya 😁 …""",positive
Tempat sejuk nan rindang cocok buat rekreasi keluarga,positive
"Disediakan beberapa spot foto yg banyak dengan disuguhkan suasana alam yg asri dan sejuk jd sangat di rekomendasikan untuk datang kesini baik bersama keluarga ,teman ,ataupun pacar (kalau puny)😅 …",positive
"Salah satu tempat wisata instagenic yang menarik perhatian bahkan belum lengkap rasanya ketika ke Jogja tapi tidak mampir kesini Salah satunya yaitu Pinus Pengger yang berada di kawasan Hutan Pinus Sendangsari . Tempat istimewa yang jarang sepi oleh wisatawan, baik lokal maupun mancanegara yang datang untuk menikmati suasana kota Jogja dari dataran yang cukup tinggi. Ada baiknya ketika berkunjung ke kawasan hutan Pinus ini yaitu dimalam hari karena kita bisa melihat lampu-lampu kota sehingga terlihat menarik dilihat dari atas. Di hutan Pinus Pengger ini makin memesona dengan aneka spot foto keren yang sengaja di sediakan bagi para wisatawan untuk berfoto bersama pasang, keluarga ataupun sahabat. Kuy buat kalian para traveler jangan lupa mampir kesini ya",positive
"""Mengabadikan foto keluarga besar dari Solo ini sungguh sangat menyenangkan..",positive
,positive
Untuk wisata disini menurut saya lebih ramah anak dan keluarga 😂,positive
,positive
"Kurang menantang untuk jiwa tracking seperti saya, bosan banget hanya melihat pohon pinus sekeliling dan view bukit..",negative
,positive
"Tapi overall bersih tempatnya, mungkin saran bisa tambah spot foto yang lebih unik, agar banyak keluarga repeat liburan kesini.. 💞""",positive
Hutan pinus sejuk. Cocok untuk wisata keluarga. Banyak spot selfie. Pemandangannya indah.,positive
Kemarin kesini bareng keluarga tercinta,positive
Pemandanganya indah.. Cocok untuk piknik keluarga/ rombongan ataupun barsama pacar.. Tempatnya luas.. Adem.. Sejuk..,positive
"Tempatnya Recommended sekali buat kalian yang jomblowati, jomblo ngenes dan berbagai macam jomblo lainnya. Dan yang satu lagi tempat ini menyediakan parkir yang luas banget, dan sangat cocok bagi keluarga untuk mengabadikan moment wisata malam.",positive
Tempat ini mempunyai keindahan untuk selfie atau foto keluarga dengan nuansa hutan Pinus,positive
Lokasi yang cocok untuk camping bersama teman maupun keluarga. Banyak terdapat spot foto dengan tarif yg cukup terjangkau,positive
"Cuaca sejuk, cocok untuk wisata keluarga. Bisa untuk wisata malam karena sudah dilengkapi lampu penerangan.",positive
"""Tempat rekreasi yang cocok bareng baik itu keluarga, temen, atau pasangan..",positive
"Tempat bersih, banyak spot foto yang bisa kalian eksplor disini..",positive
"Tersedia juga mushola buat kalian yang pengen sholat..""",positive
"Untuk biaya masuk satu orang 4000,jalan menuju lokasi masih lumayan minim penerangan, kesini pas malem cocok dan sangat ga mengecewakan, toilet ada warung juga ada, tempat parkir luas, cocok buat yg mau ngajak temen,pacar, ataupun keluarga, dan juga spot foto banyak",positive
Asri bangett dan banyak spot foto. Cocok buat liburan keluarga atau sama teman. Melepas penat seharian dg melihat yg hijau hijau disini. Biaya masuk nya juga murah. Tertata rapi. Toiletnya juga bersih hehe ga kaya temapt wisata lainnya.,positive
"""Lokasinya cocok untuk dijadikan tempat piknik bersama keluarga teman Dan grup, sejuk dan alami view alam nya, banyak spot2 kece disini.",positive
"Harga tiket masuk juga murah dan jajanan2 nya reasonable harga nya .""",positive
"Salah satu wisata instagramable yang mempesona di Bantul, Jogja. Dan ramah buat keluarga. Jarak lumayan jauh sih dari kota, waktu tempuh 45-60 menit perjalanan dengan kondisi jalan banyak kelokan. Tp akan sebanding dengan hasil yg didapat👍🏼 ada toilet dan musholla♥",positive
Tempat Piknik yang cocok untuk keluarga dan teman. Lokasi yang sejuk dan hijau. Fasilitas juga lengkap. Tersedia spot-spot foto yang instagramable,positive
"Tempat yang cocok untuk berlibur bersama keluarga. Dengan hanya membayar 2.500 per orang, kita bisa menikmati pemandangan kota Yogyakarta dari atas bukit.",positive
wisata yg cocok untuk bersama sanak keluarga dan buat pacaran juga mantul,positive
Tempatnya nyaman buat liburan sama keluarga...tapi keselamatan juga harus diperhatikan.,positive
"Wajib kesini jika mampir ke jogja, ada view seperti di atad bukit, dan juga indahnyas pohonpohon pinus yang berditi tinggi, pergi bareng pacar lebih asik, dan bersama temanteman keluarga, smuanyaaa, pkonya wajib datang dan foto foto yang banyak",positive
Wisata hutan pinus yang berada di area gunung kidul ini menawarkan keindahan yang agung tercipta dari alam yang original. Hawa sejuk nan menggoda mata bersama keluarga untuk berswa foto membuat hati serta pikiran menjadi lebih fresh.,positive
"tempatnya luas dan cocok untuk keluarga tapi kalo bawa anak kecil harus lebih extra jaganya..banyak spot"" untuk foto"" bayarnya juga murah tapi kalo pas liburan harus sabar mengantri😁..biaya masuknya pun juga murah ditambah kulinernya gak mahal"" amat pokoknya cocok deh untuk liburan keluarga, tapi jangan lupa bawa jaket soalnya disana anginnya sepoy-sepoy😁",positive
"pokonya indah dan sejuk tiket masuk pun juga murah, cocok buat mainn bareng keluarga, pokonya kamu harus coba dehh",positive
Tempat bersantai bersama keluarga yg sejuk.,positive
"Suasananya sangat asri dan sejuk, sangat cocok untuk menjadi salah satu pilihan liburan bersama keluarga",positive
Lokasinya dekat dengan kota jogja. Udara sejuk dan fasilitas lengkap. Cocok untuk wisata keluarga,positive
"""Kalau ketempat ini jangan sendirian ya,",neutral
"Lebih cocok untuk pasangan, berkelompok dan keluarga.",positive
Datang di malam hari agar dapat menikmati indahnya bintang-bintang yang menghiasi langit jogja.,positive
"Tersedia tempat parkir dan harga tiket masuknya terjangkau. Didalam juga tersedia spot minum / makan, jadi tak perlu khawatir kelaparan. Selain itu, tersedia spot foto-foto keren yang oke banget buat mengabadikan momen di jogja. Ada juga jasa foto yang sepengalaman saya harga fotonya 4rb/foto, murah banget kan. 😅",positive
"Kalau lagi liburan ke Jogjakarta, harus banget nih kemari.""",positive
"Tempat nya sejuk , baik untuk rekreasi keluarga ,teman kerja, aut bond  anak2.dll",positive
"tempat asyik untuk rekreasi dan bersantai bersama keluarga, terlebih lagi suasana malamnya diterangi lampu² temaram...menambah syahdu suasana...😀 …",positive
"Rindang dan sejuk, cocok buat rekreasi murah meriah keluarga 👍👍👍 …",positive
Rekomended buat liburan bersama keluarga,positive
Udara yg sejuk.. Cocok untuk liburan dengan keluarga,positive
Hutan Pinus yang cucok buat menyenangkan keluarga. Happy hours with family,positive
Asyiknya melihat pemandangan jogja bersama keluarga,positive
Tempat ny nyaman enak buat kumpul keluarga,positive
"Tempat yang cocok untuk liburan bersama keluarga, disuguhi rimbunnya pohon pinus, serta pemandangan kota jogja dari pinggir tebing kawasan pinus pengger",positive
Bertemu kawan baru dari medan di sini. Tempatnya bersih rapi tertata. Nyaman buat liburan keluarga apalagi sore menjelang maghrib 🤗 …,positive
Lingkungan yang sejuk untuk rekreasi keluarga,positive
"Belum begitu ramai,  tapi menarik dan cocok untuk liburan bersama keluarga atau sahabat.  Dengan view pemandangan kota YK..",positive
tempat wisata bernuansa alam...cocok untuk refreshing bersama keluarga,positive
Tempetnya asyik buat keluarga dan ftoan..,positive
"Tempatnya teduh,  banyak spot foto,  rekomendasi buat wisata keluarga",positive
Tumbuhkan rasa cinta hutan dg mengunjunginya #hutan pinus #wisata keluarga #spot selfie terbaik,positive
Cocok untuk destinasi piknik keluarga😁 …,positive
"""Hutan pinus ini tempat yang cocok untuk melepas penat dari segala kepadatan kota. enak buat bersantai bersama keluarga maupun teman. banyak spot foto juga, dan yang pasti rindang tempatnya.",positive
,positive
"untuk kalian yang mau kesini terutama musim hujan, bawa saja payung atau jas hujan karena tidak bisa di prediksi cuaca hujannya.""",neutral
Mantap tempatnya buat rekreasi keluarga,positive
"""Cocok untuk yang lagi kasmaran atau liburan bersama keluarga serta kerabat kerja, memiliki fasilitas mushola juga,",positive
"untuk foto juga disediakan di spotnya, harga menyesuaikan dengan banyak foto yoo.",neutral
"Saran lebih ciamik apabila hadir sore menuju malam hari.""",positive
"Cocok sebagai tempat wisata keluarga untuk foto, bersantai dan ngobrol",positive
"Suatu tempat obyek wisata dgn. Nuansa alami serta jg kawasan hutan asri terutama kayu pinus yg begtu canrik bs jg kita berselfi/foto baek temen,rekan skerja mipun keluarga dengan hutan tatanan asri, unik n menarik sertamerta warung2 menyedihkan dagangan nya dgn. harga yg sepantasnya jg. lahan parkir yg memadai luas lgi, cobalah menikmati, rugi qt blom ksana, byee",positive
"Syahdu, tempat piknik keluarga, patut di coba",positive
Wisata alami yg cocok untuk keluarga,positive
Tempat yg indah dan cocok untuk rekreasi dengan keluarga atau pacar,positive
"Tempat lokasi buat hunting foto yang baguss dengan nuansa hutan pinusnya. Ngga terlalu jauh dr jogja, bisa lewat jalan wonosari piyungan, jalanannya juga tidak terlalu ekstrim kalo lewat jalur ini. Parkiran luas, kamar mandi bersih, sayangnya mushola nya kecil banget, kadang kalo banyak pengunjung harus antri buat sholat. Untuk pemandangannya jangan diragukan lagi, apalagi kalau masih pagi, dan masih sepi bisa berfoto foto sepuasnya disini. Banyak spoy foto buatan masyarakat sekitar yg instagramable. Disana juga ada joglo yang bisa disewa buat acara outbond atau gathering. So far sangat memuaskan berwisata disini bareng keluarga atau komunitas 👍",positive
"Wisata alam , yang menyajikan kesejukan .. Asri ( Asli Rindang)  outbound bersama keluarga lebih asik.",positive
Suasana yg nyaman dan asri untuk liburan bersama keluarga,positive
"Tempat liburan yang rekomended banget dgn wisata alamnya yg sejuk dan juga nyaman buat pengunjung dan rekomended buat wisata keluarga, gak nyesel pkoknya kalo ksni mah,bnyak spot foto yg kece juga yang jelas ramah di kantong.gak bosen deh kalo maen ksni.",positive
Suasana sejuk... Sangat cocok buat liburan keluarga,positive
Asik buat kumpul bareng teman/keluarga,positive
Menyenangkan liburan bersama keluarga,positive
"Sejuk, adem, happy2 sepuasnya bersama keluarga atau teman",positive
"Sedikit info nih gaess, tempat ini letaknya sangat strategis, tiket masuknya murmer aja loh gaess dan tempat ini sangat cocok bagi kalian yang hobby hunting foto, karena banyak spot foto yang bagus dan menarik. Selain itu tempatnya sejuk, nyaman dan bikin betah, view pandangannya bagus banget pada waktu pagi, siang, maupun malam hari bisa melihat bintang di bawah. Pokoknya rekomended banget deh untuk rekreasi, menghilangkan kejenuhan, jalan, kumpul"" sama temen atau keluarga, pacar.",positive
"Tempatnya bagus, bersih... Harga tiket tergolong murah.. Tp untuk spot foto yg tangan harus bayar cuman 2k tapi antrinya panjang benerr... Cocok buat liburan keluarga, sama pacar kalo punya jangan sampe pacar orang lain yg di ajak aja dahh",positive
Tempat rekreasi keluarga dan komunitas yang sejuk...dan rindang di tengah hutan Pinus ...spot foto yang bagus...dan lainnya,positive
"""Tempatnya bagus...suasana masih alami.",positive
Cocok buat akhir pekan bareng keluarga.,positive
Sayangnya pas ke sana siang.,neutral
"Coba pas senja pasti bagus""",positive
"tempatnya keren, sangat rekomendasi bagi pecinta keindahan hutan pinus dan banyak spot2 untuk foto selfi maupun bersama teman2 ataupun keluarga, dan ada spot bagus untuk foto prewed. kalau malam hari lebih mantul bos..",positive
"Tempat Yang bagus untuk berwisata. Cocok Untuk liburan bareng pasangan atau keluarga. saya rekomendasikan kesini saat sore atau malam hari, karena lebih bagus pemandangan nya..",positive
"""Pemandangan keren sekali,, suasana alam begitu indah,, tiket murah, parkir luas",positive
,positive
"Cocok buat liburan bersama keluarga""",positive
"""Tempat yang sejuk, asri jauh dari bising kota.",positive
"Tempat yang romantis untuk pasangan, eitts..tentunya yang sudah syah.",positive
"Sudah beberapa kali kesini pas awal nikah (bulan madu) hehe, bersama keluarga besar.",positive
Tingkatkan terus pelayanan dan kematangan.,positive
"Good Job !""",positive
"Wisata hutan pinus sangatlah cocok buat wisata keluarga, awal datang kesini merasa takjub karna ada banyak spot foto. Jadi harus butuh tenaga ekstra agar bisa foto di spot yg ada. Bahkan blm semua spot foto dikunjungi waktu dan tenaga sdh terkuras, akhirnya balik dg hati agak ""gelo"" gak bs menikmati semua spot foto.",positive
"utan yg sebenarnya tidak menarik, tp dgn kreatifitas pengelolaan bisa menjadi daya tarik wisatawan. Nyaman untuk bersantai bersama keluarga. Terdapat banyak kantin dn toilet umum. Juga tak jauh dr mushola",positive
"""Lokasi wisata yang indah dan sejuk, enak buat santau santai dengan teman, kerabat, saudara, keluarga, dll",positive
Banyak spot² foto yang bagus.,positive
"Kata warga setempat lebih bagus lagi jika malam berkunjungnya.  Jika malam max pemgunjung masuk jm 23.00 dan jm 00.00 sudah di wajibkan keluar dari wisata.. #jogja #wisatapinus""",positive
"Semilir anginnya sejuk, rekreasi santai buat keluarga dan buat selfi2,  serta jajanannya lkomplit cendol dawet 👍👍 …",positive
"Tiket masuk ke Pinus Pengger sangat murah, hanya 3000 rupiah per orang ( 7/8/20). Sebelum masuk ke kawasan Pinus Pengger terdapat banyak tempat cuci tangan. Di masa covid 19, pengelola menerapkan protokol kesehatan seperti cek suhu badan sebelum masuk. Pengunjung juga ditanya nama, alamat dan no hp. Jadi ketika ada hal2 yg tidak diinginkan (covid 19) bisa langsung terlacak. Tempatnya sangat asri dan bersih. Di dalamnya terdapat beberapa tempat untuk selfi (gratis dan berbayar). Pinus Pengger cocok untuk sekadar bersantai dengan teman, pacar, maupun keluarga. Disini, pengunjung juga bisa menikmati makanan dan minuman di warung/pondok. Diluar kawasan ini (pintu masuk) juga terdapat beberapa restoran.",positive
"Tempat yang bagus untuk rekreasi bersama keluarga,pacar,atau teman,sejuk asri,fasilitas lengkap,ada homestay jg buat yang perjalanan jauh dan sengaja mampir ke sini,akses jalan full aspal,tp medan lumayan ekstrem,siapkan kondisi kendaraan anda",positive
"Upayakan kalau dateng ke hutan pinus pengger ini sama keluarga, nanti bisa nyaman, buat nyantai keluarga,berlibur",positive
"""Salah satu destinasi wisata alam yang rekomended banget buat km km yg pngen nuansa baru, ajak keluarga teman sahabat untuk menikmati keindahan alam hutan Pinus yang asri yang eloknan syahdu dengan hembusan angin sepoi-sepoi semilir menyejukkan hati jiwa dan fikiran",positive
Ayo berkunjung ke sini,positive
"Ayo berpariwisata""",positive
"Adem, seger, sejuk!! Ajaklah keluarga kalian untuk berkunjung ke tempat ini, gak nyesel deh pokoknya!! Apalagi kalau malam hari bisa melihat keindahan Kota Yogyakarta dari atas..",positive
"Pertama kali ke sini, dan alhamdulillah momennya pas banget, yaitu malam hari, terbayarlah jauh-jauh sampai sini diauguhkan view yang indah, dengan gemerlap lampu-lampu di kota yogyakarta dan sekitarnya, mantap pokoknya pengelolaannya, sarana refreshing bagi keluarga, teman, saudara atau pacar hehe",positive
"Hutan Pinus yang terjaga kebersihannya , tidak ada sampah2 plastik. Pemandangan yang indah.Direkomendasikan untuk liburan bersama keluarga. Didampingi tempat nya asri dan sejuk , dijamin udaranya masih sangat fresh",positive
Tempat wisata yg nyaman untuk keluarga,positive
"Berkunjung kesini saran saya jam setengah lima sore..  Jangan kawatir di sana juga ada fotografer yang siap mengabadikan moment andan bersama keluarga,  kerabat,  teman, kekasih dan sendiri (kasian amat ya..  )",positive
"""Salah satu wisata indah di bantul yg harus dikunjungi",positive
Cocok untuk anak2 dan keluarga,positive
Banyak spot foto,positive
Pagi siang malam cocom untuk dikunjungi,neutral
Tiket masuk sangat terjangkau,positive
,positive
"Jangan lupa bawa camera dan dan ajak temanmu untuk menfotoin kamu.""",neutral
"""Haii gais udah liburan apa belum..",neutral
Nak disini cocok buat ngfreshin fikiran hhh..,positive
"Banyak sport foto nya , kalo kalian ga suka rame bisa kesini pas weekday ya..",positive
Kalo week end gausah di tanya lagi rame nya kaya apa 😂😂 ..,neutral
"Nahh ini adalah hutan pinus pertama sepanjang jalan banyak pinus"""" lainnya yg bkl ngasi sport foto kece ..",positive
"Kalo kesini jgn sendiri ya 😅 nnti ilang..recommended bwt liburan keluarga,teman""""&pasangan 😎😍""",positive
Tempat yang asri buat nyantai keluarga..,positive
"""Tempatnya sejuk, udaranya segar dan tiket masuknya murah banget.",positive
"Asyik buat photo bareng keluarga, teman, pacar atau pre wed. Bahkan buat selfie juga keren.""",positive
"Tempat wisata yang sangat bagus untuk bersantai bersama keluarga dan teman2, terdapat beberapa spot poto yang bagus dengan view pemandangan yg menarik. Harga tiket masuk yang terjangkau, lokasi yang dekat dari pusat kota.",positive
"Rindang, sejuk, Instagrameble juga, wisata keluarga, anak* muda dan murah meriah kawan*.",positive
"Tempatnya benerbener nyaman gapernah sepi sih ini kesini udah ketiga kalinya dan bisa foto cuma dispot yg jembatan😂 yg rame bgt buat foto antri bgt ga pd juga kalo foto diliatin bnyk orang😁 tapi tempatnya oke recomended bgt buat liburan sama keluarga,temen,apalagi si doi😍 warung2nya juga enak bgt tempatnya kalo mau pulang juga banyak kafe2 dipinggir jalan ada spot buat foto juga cantik bgt suasananya",positive
"Tempat nyaman untuk digunakan sebagai tempat berkumpul dengan keluarga dan teman Anda saat sedang liburan, banyak spot foto-foto yang unik untuk pengunjung dan juga harga tiket yang terjangkau dan juga dekat dengan tempat wisata lainnya",positive
"Tempat liburan murah, bersama keluarga",positive
"""Cocok untuk wisata keluarga atau studytour,",positive
,positive
"Siang hari bagus foto diantara pohon Pinus nya, ada juga di spot Hammock",positive
,positive
"Untuk malam di spot akar akar lebih bagus""",positive
